wavelength,x_bar,y_bar,z_bar
360,0.00012989999999999999,3.916999999999999e-06,0.0006061
361,0.00014584700000000003,4.393581e-06,0.0006808791999999996
362,0.00016380209999999995,4.929604000000002e-06,0.0007651455999999997
363,0.00018400370000000004,5.532136e-06,0.0008600124000000001
364,0.00020669019999999992,6.208245000000001e-06,0.0009665928000000001
365,0.00023209999999999998,6.965000000000001e-06,0.001086
366,0.00026072800000000006,7.813219000000005e-06,0.0012205860000000003
367,0.00029307500000000017,8.767335999999998e-06,0.0013727289999999998
368,0.000329388,9.839844000000007e-06,0.0015435789999999994
369,0.00036991399999999994,1.1043229999999998e-05,0.001734286
370,0.00041489999999999995,1.2390000000000003e-05,0.001946000000000001
371,0.0004641587000000001,1.3886409999999997e-05,0.0021777769999999997
372,0.0005189859999999999,1.5557279999999993e-05,0.0024358089999999993
373,0.000581854,1.744296e-05,0.002731953
374,0.0006552346999999999,1.958374999999999e-05,0.0030780639999999997
375,0.0007416000000000001,2.202e-05,0.003486000000000001
376,0.0008450296000000002,2.483965e-05,0.0039752270000000004
377,0.0009645268000000001,2.804126000000002e-05,0.004540879999999998
378,0.0010949489999999994,3.153104e-05,0.005158319999999997
379,0.0012311539999999993,3.521521000000001e-05,0.005802907
380,0.0013680000000000003,3.899999999999999e-05,0.0064500009999999995
381,0.0015020500000000004,4.282639999999999e-05,0.007083216000000006
382,0.0016423280000000002,4.691459999999999e-05,0.007745487999999999
383,0.001802381999999999,5.1589599999999985e-05,0.008501152
384,0.0019957569999999995,5.717639999999997e-05,0.009414543999999997
385,0.002236000000000001,6.4e-05,0.01054999
386,0.0025353850000000002,7.234421000000004e-05,0.011965800000000002
387,0.0028926030000000005,8.221224000000004e-05,0.013655869999999999
388,0.003300829,9.350816e-05,0.01558805
389,0.0037532359999999996,0.00010613609999999998,0.017730149999999997
390,0.0042429999999999985,0.00012000000000000002,0.020050010000000007
391,0.004762389000000002,0.00013498399999999997,0.022511359999999994
392,0.005330048000000002,0.00015149200000000003,0.02520288
393,0.005978712,0.00017020799999999995,0.028279719999999998
394,0.006741117,0.00019181600000000006,0.03189704
395,0.007649999999999999,0.00021700000000000002,0.036210000000000006
396,0.008751373,0.0002469067000000001,0.041437709999999996
397,0.010028879999999997,0.00028123999999999993,0.04750372
398,0.011421700000000005,0.00031852,0.054119880000000016
399,0.012869010000000007,0.0003572667,0.060998030000000016
400,0.014309999999999996,0.00039599999999999976,0.06785001000000002
401,0.015704429999999995,0.0004337146999999999,0.07448632
402,0.017147440000000003,0.000473024,0.08136156
403,0.01878122,0.0005178760000000002,0.08915363999999996
404,0.020748009999999997,0.0005722187000000001,0.09854047999999999
405,0.02318999999999999,0.0006399999999999999,0.11019999999999999
406,0.02620736,0.0007245600000000001,0.12461330000000001
407,0.029782480000000007,0.0008255000000000001,0.14170170000000004
408,0.033880919999999995,0.0009411599999999998,0.1613035
409,0.03846824,0.0010698799999999996,0.1832568000000001
410,0.04351,0.0012099999999999997,0.20740000000000003
411,0.0489956,0.0013620909999999997,0.23369210000000007
412,0.055022599999999984,0.0015307520000000002,0.2626113999999999
413,0.06171880000000002,0.0017203679999999995,0.29477460000000005
414,0.06921199999999998,0.0019353229999999992,0.3307985000000001
415,0.07763000000000005,0.002180000000000001,0.3712999999999999
416,0.08695811,0.0024548,0.4162090999999999
417,0.09717672000000001,0.002764,0.4654641999999998
418,0.10840629999999998,0.0031177999999999987,0.5196948000000001
419,0.12076719999999994,0.0035264,0.5795303
420,0.13437999999999994,0.004,0.6455999999999998
421,0.14935820000000002,0.004546239999999999,0.7184838000000001
422,0.16539569999999998,0.0051593199999999985,0.7967133000000002
423,0.18198309999999998,0.005829280000000001,0.8778459
424,0.198611,0.00654616,0.9594390000000005
425,0.21477000000000007,0.007300000000000002,1.0390501000000003
426,0.2301867999999999,0.008086507000000003,1.1153672999999995
427,0.2448797,0.008908719999999997,1.1884970999999993
428,0.2587773,0.00976768,1.2581232999999998
429,0.2718078999999999,0.010664430000000004,1.3239296
430,0.28390000000000004,0.011599999999999997,1.3856
431,0.29494380000000003,0.012573170000000002,1.442635200000001
432,0.3048964999999999,0.01358271999999999,1.4948034999999997
433,0.31378730000000005,0.014629679999999996,1.5421903000000001
434,0.3216454000000002,0.015715089999999994,1.5848806999999998
435,0.3285,0.016839999999999997,1.62296
436,0.3343512999999999,0.018007360000000007,1.6564048000000002
437,0.33921009999999996,0.019214480000000006,1.6852959000000007
438,0.3431212999999998,0.02045392,1.7098745000000002
439,0.3461296,0.021718240000000003,1.7303821
440,0.34828000000000003,0.023000000000000007,1.7470600000000005
441,0.34959989999999996,0.024294609999999994,1.7600446000000005
442,0.35014740000000005,0.025610240000000003,1.7696232999999997
443,0.35001299999999996,0.02695857,1.7762637000000001
444,0.34928700000000007,0.028351250000000005,1.7804334
445,0.34806,0.02979999999999999,1.7825999999999986
446,0.3463732999999999,0.03131083000000001,1.7829682000000004
447,0.3442624000000001,0.03288368,1.7816997999999993
448,0.3418087999999999,0.034521119999999995,1.7791982000000002
449,0.3390940999999999,0.036225710000000015,1.7758671000000001
450,0.33619999999999994,0.038,1.7721100000000007
451,0.33319770000000004,0.03984666999999999,1.7682589
452,0.33004109999999987,0.04176800000000002,1.7640389999999986
453,0.32663569999999975,0.04376599999999998,1.7589438000000002
454,0.32288679999999986,0.04584266999999999,1.7524663000000005
455,0.31870000000000004,0.04800000000000001,1.7440999999999998
